Sr. No ,Device ID,Ethernet Jack #,MacID,Hostname,IP Address,Mites #,Mites Alpha #,Floor #,Room/Corridor #,Ceiling or Wall,Location Notes
45,380030000247343337373738,114-02-231-11,6c:0b:84:59:76:8c,tcs-m-186.wifi.local.cmu.edu,172.26.234.75,186,GD,Floor 2,245,W1,
46,380027000247343337373738,114-02-231-14,6c:0b:84:59:76:c5,tcs-m-187.wifi.local.cmu.edu,172.26.235.148,187,GE,Floor 2,246,C1,
47,2a0023000147343337373738,114-02-231-13,6c:0b:84:59:74:8e,tcs-m-194.wifi.local.cmu.edu,172.26.235.146,194,GL,Floor 2,246,W1,
48,2d0048000147343337373738,114-02-231-16,6c:0b:84:59:74:84,tcs-m-195.wifi.local.cmu.edu,172.26.235.147,195,GM,Floor 2,247,C1,
49,320023000147343337373738,114-02-231-15,6c:0b:84:59:76:7d,tcs-m-201.wifi.local.cmu.edu,172.26.234.76,201,GS,Floor 2,247,W1,
50,360026000247343337373738,114-02-231-18,6c:0b:84:59:78:2a,tcs-m-202.wifi.local.cmu.edu,172.26.234.77,202,GT,Floor 2,248,C1,
51,33001e000247343337373738,114-02-231-17,6c:0b:84:59:79:89,tcs-m-203.wifi.local.cmu.edu,172.26.234.78,203,GU,Floor 2,248,W1,
52,270030000147343337373738,114-02-231-22,6c:0b:84:59:76:73,tcs-m-204.wifi.local.cmu.edu,172.26.234.79,204,GV,Floor 2,251,C1,
53,3c0024000247343337373738,114-02-231-21,6c:0b:84:59:77:c1,tcs-m-205.wifi.local.cmu.edu,172.26.234.80,205,GW,Floor 2,251,C2,
54,3a0045000547343339373536,114-02-231-20,6c:0b:84:59:77:b1,tcs-m-206.wifi.local.cmu.edu,172.26.234.81,206,GX,Floor 2,251,C3,
55,280046000147343337373738,114-02-231-19,6c:0b:84:59:77:b6,tcs-m-207.wifi.local.cmu.edu,172.26.234.82,207,GY,Floor 2,251,W1,
56,29001c000147343337373738,114-02-232-02,6c:0b:84:59:77:50,tcs-m-208.wifi.local.cmu.edu,172.26.234.83,208,GZ,Floor 2,250,C1,
57,3a0038000247343337373738,114-02-232-03,6c:0b:84:59:78:30,tcs-m-209.wifi.local.cmu.edu,172.26.234.84,209,HA,Floor 2,250,C2,
58,360023000547343339373536,114-02-232-04,6c:0b:84:59:79:36,tcs-m-210.wifi.local.cmu.edu,172.26.234.85,210,HB,Floor 2,250,C3,
59,250039000147343337373738,114-02-232-01,6c:0b:84:59:76:94,tcs-m-211.wifi.local.cmu.edu,172.26.234.86,211,HC,Floor 2,250,C4,
60,31003d000147343337373738,114-02-232-05,6c:0b:84:59:79:4d,tcs-m-212.wifi.local.cmu.edu,172.26.234.87,212,HD,Floor 2,250,C5,
61,24003a000147343337373738,114-02-231-24,6c:0b:84:59:7b:be,tcs-m-213.wifi.local.cmu.edu,172.26.234.88,213,HE,Floor 2,250,W1,
62,2d001a000147343337373738,114-02-232-07,6c:0b:84:59:77:8f,tcs-m-214.wifi.local.cmu.edu,172.26.234.89,214,HF,Floor 2,261,W1,
63,290034000147343337373738,114-02-232-06,6c:0b:84:59:77:bb,tcs-m-215.wifi.local.cmu.edu,172.26.234.90,215,HG,Floor 2,260,C1,
64,3e002e000247343337373738,114-02-232-08,6c:0b:84:59:77:6a,tcs-m-216.wifi.local.cmu.edu,172.26.234.91,216,HH,Floor 2,262,W1,
65,240032000147343337373738,114-02-232-09,6c:0b:84:59:7b:b8,tcs-m-217.wifi.local.cmu.edu,172.26.234.92,217,HI,Floor 2,263,W1,
66,2f0040000247343337373738,114-02-232-10,6c:0b:84:59:7b:ef,tcs-m-218.wifi.local.cmu.edu,172.26.234.93,218,HJ,Floor 2,264,W1,
67,3b002c000747343337373738,114-02-232-15,6c:0b:84:59:7c:1e,tcs-m-219.wifi.local.cmu.edu,172.26.234.94,219,HK,Floor 2,265,W1,
68,340043000247343337373738,114-02-234-13,6c:0b:84:59:7b:bc,tcs-m-220.wifi.local.cmu.edu,172.26.234.95,220,HL,Floor 2,268,C1,
69,34001d000547343339373536,114-02-234-14,6c:0b:84:59:77:a1,tcs-m-221.wifi.local.cmu.edu,172.26.234.96,221,HM,Floor 2,268,C2,
70,370036001647343339383037,114-02-234-15,6c:0b:84:59:79:ab,tcs-m-222.wifi.local.cmu.edu,172.26.234.97,222,HN,Floor 2,268,C3,
71,290035000147343337373738,114-02-234-10,6c:0b:84:59:77:9d,tcs-m-223.wifi.local.cmu.edu,172.26.234.98,223,HO,Floor 2,257,W1,
72,3a0042000547343339373536,114-02-234-11,6c:0b:84:59:77:b7,tcs-m-224.wifi.local.cmu.edu,172.26.234.99,224,HP,Floor 2,258,W1,
73,2b0042000147343337373738,114-02-234-12,6c:0b:84:59:74:b0,tcs-m-225.wifi.local.cmu.edu,172.26.234.100,225,HQ,Floor 2,267,W1,
74,3b0023000547343339373536,114-02-234-14,6c:0b:84:59:78:b3,tcs-m-226.wifi.local.cmu.edu,172.26.234.101,226,HR,Floor 2,266,W1,
75,370021000547343339373536,114-02-234-13,6c:0b:84:59:74:a4,tcs-m-227.wifi.local.cmu.edu,172.26.234.102,227,HS,Floor 2,259,W1,
76,35003d000247343337373738,114-02-232-12,6c:0b:84:59:7b:81,tcs-m-228.wifi.local.cmu.edu,172.26.234.103,228,HT,Floor 2,256,C1,
77,380026000547343339373536,114-02-234-09,6c:0b:84:59:74:9d,tcs-m-229.wifi.local.cmu.edu,172.26.234.104,229,HU,Floor 2,255,C1,
78,35003a000547343339373536,114-02-234-08,6c:0b:84:59:79:70,tcs-m-230.wifi.local.cmu.edu,172.26.234.105,230,HV,Floor 2,254,C1,
79,290040000147343337373738,114-02-234-07,6c:0b:84:59:77:af,tcs-m-231.wifi.local.cmu.edu,172.26.234.106,231,HW,Floor 2,254,W1,
80,29002b000147343337373738,114-02-237-23,6c:0b:84:59:77:b5,tcs-m-232.wifi.local.cmu.edu,172.26.234.107,232,HX,Floor 2,236,W1,
81,36001b000547343339373536,114-02-233-16,6c:0b:84:59:79:38,tcs-m-233.wifi.local.cmu.edu,172.26.234.108,233,HY,Floor 2,HALL,HC1,Outside 236
82,31003f000147343337373738,114-02-233-23,6c:0b:84:59:79:41,tcs-m-234.wifi.local.cmu.edu,172.26.234.109,234,HZ,Floor 2,235,C1,
83,250042000147343337373738,114-02-233-24,6c:0b:84:59:7c:06,tcs-m-235.wifi.local.cmu.edu,172.26.234.110,235,IA,Floor 2,235,C2,
84,3c001e000247343337373738,114-02-234-01,6c:0b:84:59:77:c6,tcs-m-236.wifi.local.cmu.edu,172.26.234.111,236,IB,Floor 2,235,C3,
85,340031000547343339373536,114-02-233-18,6c:0b:84:59:79:37,tcs-m-237.wifi.local.cmu.edu,172.26.234.112,237,IC,Floor 2,235,C4,
86,2b0024000147343337373738,114-02-233-22,6c:0b:84:59:75:20,tcs-m-238.wifi.local.cmu.edu,172.26.234.113,238,ID,Floor 2,235,C5,
87,33003c000547343339373536,114-02-233-21,6c:0b:84:59:77:a7,tcs-m-239.wifi.local.cmu.edu,172.26.234.114,239,IE,Floor 2,235,C6,
88,31001b000247343337373738,114-02-233-20,6c:0b:84:59:7b:6e,tcs-m-240.wifi.local.cmu.edu,172.26.234.115,240,IF,Floor 2,235,C7,
89,1f0037000c47363330353437,114-02-233-19,e0:4f:43:52:5f:42,tcs-m-241.wifi.local.cmu.edu,172.26.234.116,241,IG,Floor 2,235,C8,
90,2e0027000547363332363639,114-02-233-17,e0:4f:43:52:5f:e6,tcs-m-242.wifi.local.cmu.edu,172.26.234.117,242,IH,Floor 2,235,W1,
91,2f001c000547363332363639,114-02-233-15,e0:4f:43:52:60:cc,tcs-m-243.wifi.local.cmu.edu,172.26.234.118,243,II,Floor 2,HALL,HC2,Outside 233
92,180037000547363332363639,114-02-233-12,e0:4f:43:52:61:d5,tcs-m-245.wifi.local.cmu.edu,172.26.234.119,245,IK,Floor 2,233,C1,
93,3b0040000247343337373738,114-02-233-13,6c:0b:84:59:77:bd,tcs-m-246.wifi.local.cmu.edu,172.26.234.120,246,IL,Floor 2,233,C2,
94,390043000247343337373738,114-02-233-11,6c:0b:84:59:78:43,tcs-m-247.wifi.local.cmu.edu,172.26.234.121,247,IM,Floor 2,233,C3,
95,3b001c000547343339373536,114-02-233-14,6c:0b:84:59:77:58,tcs-m-248.wifi.local.cmu.edu,172.26.234.122,248,IN,Floor 2,233,C4,
96,380040000247343337373738,114-02-234-17,6c:0b:84:59:77:53,tcs-m-249.wifi.local.cmu.edu,172.26.234.123,249,IO,Floor 2,HALL,HC3,Outside 246
97,26003f000147343337373738,114-02-234-18,6c:0b:84:59:77:ba,tcs-m-250.wifi.local.cmu.edu,172.26.234.124,250,IP,Floor 2,HALL,HC4,Outside 241
98,1b0035000147343337373738,114-02-232-17,6c:0b:84:59:7b:6f,tcs-m-251.wifi.local.cmu.edu,172.26.234.125,251,IQ,Floor 2,224,C1,
99,3b002b000247343337373738,114-02-232-16,6c:0b:84:59:77:cd,tcs-m-252.wifi.local.cmu.edu,172.26.234.126,252,IR,Floor 2,224,W1,
100,37002e000247343337373738,114-02-232-19,6c:0b:84:59:77:7f,tcs-m-253.wifi.local.cmu.edu,172.26.234.127,253,IS,Floor 2,223,C1,
101,390024000247343337373738,114-02-232-18,6c:0b:84:59:77:d5,tcs-m-254.wifi.local.cmu.edu,172.26.234.128,254,IT,Floor 2,223,W1,
102,280039000147343337373738,114-02-232-21,6c:0b:84:59:77:da,tcs-m-255.wifi.local.cmu.edu,172.26.234.129,255,IU,Floor 2,222,C1,
103,25002f000147343337373738,114-02-232-20,6c:0b:84:59:78:c9,tcs-m-256.wifi.local.cmu.edu,172.26.234.130,256,IV,Floor 2,222,W1,
104,420038001547343339383037,114-02-232-23,6c:0b:84:59:78:c3,tcs-m-257.wifi.local.cmu.edu,172.26.234.131,257,IW,Floor 2,221,C1,
105,3b0043000547343339373536,114-02-232-22,6c:0b:84:59:77:e2,tcs-m-258.wifi.local.cmu.edu,172.26.234.132,258,IX,Floor 2,221,W1,
106,2d0045000147343337373738,114-02-233-01,6c:0b:84:59:77:d7,tcs-m-259.wifi.local.cmu.edu,172.26.234.133,259,IY,Floor 2,220,C1,
107,1b0031000147343337373738,114-02-232-24,6c:0b:84:59:7b:5e,tcs-m-260.wifi.local.cmu.edu,172.26.234.134,260,IZ,Floor 2,220,W1,
108,420030000547343339373536,114-02-233-03,6c:0b:84:59:76:56,tcs-m-261.wifi.local.cmu.edu,172.26.234.135,261,JA,Floor 2,231A,C1,
109,32002b000147343337373738,114-02-233-05,6c:0b:84:59:75:f0,tcs-m-262.wifi.local.cmu.edu,172.26.234.136,262,JB,Floor 2,231,C1,
110,41003d001547343339383037,114-02-233-04,6c:0b:84:59:75:ea,tcs-m-263.wifi.local.cmu.edu,172.26.234.137,263,JC,Floor 2,231,W1,
111,280033000147343337373738,114-02-233-06,6c:0b:84:59:76:19,tcs-m-264.wifi.local.cmu.edu,172.26.234.11,264,JD,Floor 2,232,W1,
112,28003f000147343337373738,114-02-233-07,6c:0b:84:59:75:f9,tcs-m-265.wifi.local.cmu.edu,172.26.234.138,265,JE,Floor 2,207OC,C1,
113,430035000547343339373536,114-02-233-08,6c:0b:84:59:76:0e,tcs-m-268.wifi.local.cmu.edu,172.26.234.140,268,JH,Floor 2,207OC,C2,
114,420038000547343339373536,114-02-233-09,6c:0b:84:59:76:06,tcs-m-269.wifi.local.cmu.edu,172.26.234.141,269,JI,Floor 2,207OC,C3,
115,42003b001547343339383037,114-02-233-10,6c:0b:84:59:76:39,tcs-m-270.wifi.local.cmu.edu,172.26.234.142,270,JJ,Floor 2,HALL,HC5,
116,360019001647343339383037,114-02-233-02,6c:0b:84:59:7a:ad,tcs-m-271.wifi.local.cmu.edu,172.26.234.143,271,JK,Floor 2,230,W1,
117,220044000147343337373738,114-02-234-02,6c:0b:84:59:7b:08,tcs-m-272.wifi.local.cmu.edu,172.26.234.144,272,JL,Floor 2,HALL,HC6,
118,3b0037000747343337373738,114-02-234-03,6c:0b:84:59:7a:aa,tcs-m-273.wifi.local.cmu.edu,172.26.234.145,273,JM,Floor 2,HALL,HC7,
119,220036000147343337373738,114-02-234-18,6c:0b:84:59:7b:1c,tcs-m-274.wifi.local.cmu.edu,172.26.234.146,274,JN,Floor 2,HALL RC,HC8,
120,200038000147343337373738,114-02-234-04,6c:0b:84:59:7a:77,tcs-m-275.wifi.local.cmu.edu,172.26.234.147,275,JO,Floor 2,HALL,HC9,
121,36002a001647343339383037,114-02-234-05,6c:0b:84:59:7b:03,tcs-m-276.wifi.local.cmu.edu,172.26.234.148,276,JP,Floor 2,HALL,HC10,
122,34001a000247343337373738,114-02-234-06,6c:0b:84:59:7a:b9,tcs-m-277.wifi.local.cmu.edu,172.26.234.149,277,JQ,Floor 2,HALL,HC11,
123,220034000147343337373738,MISSING LOCATION,6c:0b:84:59:7b:12,tcs-m-278.wifi.local.cmu.edu,172.26.234.150,278,JR,Floor 2,,,Missing PoE Location!
124,1c0028000547363332363639,114-03-331-02,e0:4f:43:52:61:90,tcs-m-279.wifi.local.cmu.edu,172.26.234.151,279,JS,Floor 3,325,C1,
125,360031001647343339383037,114-03-331-01,6c:0b:84:59:7a:cb,tcs-m-280.wifi.local.cmu.edu,172.26.234.152,280,JT,Floor 3,325,W1,
126,2e0023000547363332363639,114-03-331-03,e0:4f:43:52:60:cd,tcs-m-281.wifi.local.cmu.edu,172.26.234.153,281,JU,Floor 3,326,C1,
127,2a0020000247343337373738,114-03-331-04,6c:0b:84:59:7a:97,tcs-m-282.wifi.local.cmu.edu,172.26.234.154,282,JV,Floor 3,326,W1,
128,3c0038000b47363330353437,114-03-331-06,e0:4f:43:52:60:d4,tcs-m-283.wifi.local.cmu.edu,172.26.234.155,283,JW,Floor 3,327,C1,
129,1c0021000547363332363639,114-03-331-05,e0:4f:43:52:62:14,tcs-m-284.wifi.local.cmu.edu,172.26.234.156,284,JX,Floor 3,327,W1,
130,1f0039000547363332363639,114-03-331-08,e0:4f:43:52:62:a1,tcs-m-285.wifi.local.cmu.edu,172.26.234.157,285,JY,Floor 3,340,C1,
131,1d0027000547363332363639,114-03-331-07,e0:4f:43:52:61:61,tcs-m-286.wifi.local.cmu.edu,172.26.234.158,286,JZ,Floor 3,340,W1,
132,39001f000547363332363639,114-03-331-10,e0:4f:43:52:5f:76,tcs-m-287.wifi.local.cmu.edu,172.26.234.159,287,KA,Floor 3,341,C1,
133,1d002f000547363332363639,114-03-331-09,e0:4f:43:52:62:61,tcs-m-288.wifi.local.cmu.edu,172.26.234.160,288,KB,Floor 3,341,W1,
134,1e0030000547363332363639,114-03-331-12,e0:4f:43:52:62:0e,tcs-m-289.wifi.local.cmu.edu,172.26.234.161,289,KC,Floor 3,342,C1,
135,180031000547363332363639,114-03-331-11,e0:4f:43:52:62:78,tcs-m-290.wifi.local.cmu.edu,172.26.234.162,290,KD,Floor 3,342,W1,
136,3f0034000c47363330353437,114-03-331-14,e0:4f:43:52:5f:c8,tcs-m-291.wifi.local.cmu.edu,172.26.234.163,291,KE,Floor 3,343,C1,
137,180029000547363332363639,114-03-331-13,e0:4f:43:52:62:2d,tcs-m-292.wifi.local.cmu.edu,172.26.234.164,292,KF,Floor 3,343,W1,
138,180035000547363332363639,114-03-331-15,e0:4f:43:52:62:a8,tcs-m-293.wifi.local.cmu.edu,172.26.234.165,293,KG,Floor 3,344,W1,
139,3f0037000c47363330353437,114-03-331-17,e0:4f:43:52:5f:fd,tcs-m-294.wifi.local.cmu.edu,172.26.234.166,294,KH,Floor 3,345,C1,
140,2e0029000547363332363639,114-03-331-16,e0:4f:43:52:5f:e7,tcs-m-295.wifi.local.cmu.edu,172.26.234.167,295,KI,Floor 3,345,W1,
141,1d0033000547363332363639,114-03-331-19,e0:4f:43:52:62:62,tcs-m-296.wifi.local.cmu.edu,172.26.234.168,296,KJ,Floor 3,346,C1,
142,390029000547363332363639,114-03-331-18,e0:4f:43:52:5f:fe,tcs-m-297.wifi.local.cmu.edu,172.26.234.169,297,KK,Floor 3,346,W1,
143,3b003f000b47363330353437,114-03-331-21,e0:4f:43:52:60:fc,tcs-m-298.wifi.local.cmu.edu,172.26.234.170,298,KL,Floor 3,347,C1,
144,1d002e000547363332363639,114-03-331-20,e0:4f:43:52:61:70,tcs-m-299.wifi.local.cmu.edu,172.26.234.171,299,KM,Floor 3,347,W1,
145,3f001f000c47363330353437,114-03-331-23,e0:4f:43:52:60:6d,tcs-m-300.wifi.local.cmu.edu,172.26.234.172,300,KN,Floor 3,348,C1,
146,1f0035000c47363330353437,114-03-331-22,e0:4f:43:52:5f:3b,tcs-m-301.wifi.local.cmu.edu,172.26.234.173,301,KO,Floor 3,348,W1,
147,3f0024000c47363330353437,114-03-332-01,e0:4f:43:52:60:75,tcs-m-302.wifi.local.cmu.edu,172.26.234.174,302,KP,Floor 3,349,C1,
148,1f0034000547363332363639,114-03-334-24,e0:4f:43:52:62:79,tcs-m-303.wifi.local.cmu.edu,172.26.234.175,303,KQ,Floor 3,349,W1,
149,1d002a000547363332363639,114-03-332-03,e0:4f:43:52:61:b0,tcs-m-304.wifi.local.cmu.edu,172.26.234.176,304,KR,Floor 3,363,C1,
150,1e002d000547363332363639,114-03-332-02,e0:4f:43:52:61:f2,tcs-m-305.wifi.local.cmu.edu,172.26.234.177,305,KS,Floor 3,363,W1,
151,3f003a000c47363330353437,114-03-332-05,e0:4f:43:52:60:74,tcs-m-306.wifi.local.cmu.edu,172.26.234.178,306,KT,Floor 3,362,C1,
152,3b0036000b47363330353437,114-03-332-04,e0:4f:43:52:60:54,tcs-m-307.wifi.local.cmu.edu,172.26.234.179,307,KU,Floor 3,362,W1,
153,3f0031000c47363330353437,114-03-332-07,e0:4f:43:52:5f:a3,tcs-m-308.wifi.local.cmu.edu,172.26.234.180,308,KV,Floor 3,361,C1,
154,390021000547363332363639,114-03-332-06,e0:4f:43:52:5f:6f,tcs-m-309.wifi.local.cmu.edu,172.26.234.181,309,KW,Floor 3,361,W1,
155,170032000547363332363639,114-03-335-22,e0:4f:43:52:61:c5,tcs-m-310.wifi.local.cmu.edu,172.26.234.182,310,KX,Floor 3,311,C1,
156,330043000247343337373738,114-03-335-21,6c:0b:84:59:7a:9e,tcs-m-311.wifi.local.cmu.edu,172.26.234.183,311,KY,Floor 3,311,W1,
157,320048000247343337373738,114-03-335-20,6c:0b:84:59:7a:cf,tcs-m-314.wifi.local.cmu.edu,172.26.234.184,314,LB,Floor 3,312,C1,
158,310032000247343337373738,114-03-335-19,6c:0b:84:59:7a:75,tcs-m-315.wifi.local.cmu.edu,172.26.234.185,315,LC,Floor 3,312,W1,
159,37003a001647343339383037,114-03-335-18,6c:0b:84:59:7a:d2,tcs-m-316.wifi.local.cmu.edu,172.26.234.186,316,LD,Floor 3,313,C1,
160,34001c000247343337373738,114-03-335-17,6c:0b:84:59:7a:b0,tcs-m-317.wifi.local.cmu.edu,172.26.234.187,317,LE,Floor 3,313,W1,
161,32003e000247343337373738,114-03-335-16,6c:0b:84:59:7a:9a,tcs-m-318.wifi.local.cmu.edu,172.26.234.188,318,LF,Floor 3,314,C1,
162,360023001647343339383037,114-03-335-15,6c:0b:84:59:7a:a2,tcs-m-319.wifi.local.cmu.edu,172.26.234.189,319,LG,Floor 3,314,W1,
163,3b003d000747343337373738,114-03-335-14,6c:0b:84:59:7a:7f,tcs-m-320.wifi.local.cmu.edu,172.26.234.190,320,LH,Floor 3,315,C1,
164,200041000547363332363639,114-03-335-13,e0:4f:43:52:62:b0,tcs-m-321.wifi.local.cmu.edu,172.26.234.191,321,LI,Floor 3,315,W1,
165,2e001f000d47363330353437,114-03-335-12,e0:4f:43:52:61:80,tcs-m-322.wifi.local.cmu.edu,172.26.234.192,322,LJ,Floor 3,316,C1,
166,200024000c47363330353437,114-03-335-11,e0:4f:43:52:5f:33,tcs-m-323.wifi.local.cmu.edu,172.26.234.193,323,LK,Floor 3,316,W1,
167,3e001e000c47363330353437,114-03-335-10,e0:4f:43:52:60:9c,tcs-m-324.wifi.local.cmu.edu,172.26.234.194,324,LL,Floor 3,317,C1,
168,1e002e000547363332363639,114-03-335-09,e0:4f:43:52:62:36,tcs-m-325.wifi.local.cmu.edu,172.26.234.195,325,LM,Floor 3,317,W1,
169,1c002a000547363332363639,114-03-332-16,e0:4f:43:52:61:91,tcs-m-326.wifi.local.cmu.edu,172.26.234.196,326,LN,Floor 3,320,C1,
170,1f0043000547363332363639,114-03-332-15,e0:4f:43:52:62:e5,tcs-m-327.wifi.local.cmu.edu,172.26.234.197,327,LO,Floor 3,320,W1,
171,38001b000547363332363639,114-03-332-14,e0:4f:43:52:5f:d8,tcs-m-328.wifi.local.cmu.edu,172.26.234.198,328,LP,Floor 3,321,C1,
172,2f0020000547363332363639,114-03-332-13,e0:4f:43:52:60:2d,tcs-m-329.wifi.local.cmu.edu,172.26.234.199,329,LQ,Floor 3,321,W1,
173,1c0027000547363332363639,114-03-332-12,e0:4f:43:52:61:a8,tcs-m-330.wifi.local.cmu.edu,172.26.234.200,330,LR,Floor 3,322,C1,
174,3c003e000b47363330353437,114-03-336-10,e0:4f:43:52:60:c4,tcs-m-331.wifi.local.cmu.edu,172.26.234.201,331,LS,Floor 3,322,W1,
175,1f0033000c47363330353437,114-03-332-11,e0:4f:43:52:5f:3a,tcs-m-332.wifi.local.cmu.edu,172.26.234.202,332,LT,Floor 3,323,C1,
176,1f003a000547363332363639,114-03-332-10,e0:4f:43:52:62:e4,tcs-m-333.wifi.local.cmu.edu,172.26.234.203,333,LU,Floor 3,323,W1,
177,290030000147343337373738,114-03-332-09,6c:0b:84:59:76:11,tcs-m-334.wifi.local.cmu.edu,172.26.234.204,334,LV,Floor 3,324,C1,
178,3a0040000247343337373738,114-03-332-08,6c:0b:84:59:76:4f,tcs-m-335.wifi.local.cmu.edu,172.26.234.205,335,LW,Floor 3,324,W1,
179,38002d000247343337373738,114-03-336-07,6c:0b:84:59:76:61,tcs-m-336.wifi.local.cmu.edu,172.26.234.206,336,LX,Floor 3,HALL,HC1,Outside 327
180,3d0027000547343339373536,114-03-332-17,6c:0b:84:59:76:0b,tcs-m-337.wifi.local.cmu.edu,172.26.234.207,337,LY,Floor 3,332,W1,
181,3a003c000247343337373738,114-03-332-23,6c:0b:84:59:76:65,tcs-m-338.wifi.local.cmu.edu,172.26.234.208,338,LZ,Floor 3,C303,C1,
182,3e0024000547343339373536,114-03-332-24,6c:0b:84:59:76:08,tcs-m-339.wifi.local.cmu.edu,172.26.234.209,339,MA,Floor 3,C303,C2,
183,19002a000547363332363639,114-03-332-19,e0:4f:43:52:62:81,tcs-m-340.wifi.local.cmu.edu,172.26.234.210,340,MB,Floor 3,331,C1,
184,43002d000547343339373536,114-03-332-18,6c:0b:84:59:76:cf,tcs-m-341.wifi.local.cmu.edu,172.26.234.211,341,MC,Floor 3,331,W1,
185,38001c000247343337373738,114-03-336-09,6c:0b:84:59:76:cb,tcs-m-342.wifi.local.cmu.edu,172.26.234.212,342,MD,Floor 3,HALL,HC2,Outside 331
186,3b003c000b47363330353437,114-03-332-20,e0:4f:43:52:60:d5,tcs-m-343.wifi.local.cmu.edu,172.26.234.213,343,ME,Floor 3,331A,C1,
187,1f003e000547363332363639,114-03-332-21,e0:4f:43:52:61:98,tcs-m-344.wifi.local.cmu.edu,172.26.234.214,344,MF,Floor 3,330,W1,
188,3b0037000b47363330353437,114-03-332-22,e0:4f:43:52:60:5d,tcs-m-345.wifi.local.cmu.edu,172.26.234.215,345,MG,Floor 3,HALL,HC3,Outside 317
189,3b0034000b47363330353437,114-03-336-05,e0:4f:43:52:60:5c,tcs-m-346.wifi.local.cmu.edu,172.26.234.216,346,MH,Floor 3,HALL 300RC,HC4,Outside 301
190,1e0021000547363332363639,114-03-336-04,e0:4f:43:52:62:d5,tcs-m-347.wifi.local.cmu.edu,172.26.234.217,347,MI,Floor 3,HALL,HC5,Outside 311
191,390038000247343337373738,114-03-336-01,6c:0b:84:59:76:55,tcs-m-350.wifi.local.cmu.edu,172.26.234.218,350,ML,Floor 3,310,C1,
192,410035001547343339383037,114-03-335-24,6c:0b:84:59:75:e4,tcs-m-351.wifi.local.cmu.edu,172.26.234.219,351,MM,Floor 3,310,C2,
193,41002f001547343339383037,114-03-335-23,6c:0b:84:59:76:33,tcs-m-352.wifi.local.cmu.edu,172.26.234.220,352,MN,Floor 3,310,W1,
194,41002c001547343339383037,114-03-336-03,6c:0b:84:59:76:3f,tcs-m-353.wifi.local.cmu.edu,172.26.234.221,353,MO,Floor 3,HALL 300EL,HC6,Outside 310
195,360033000247343337373738,114-03-336-02,6c:0b:84:59:76:ae,tcs-m-356.wifi.local.cmu.edu,172.26.234.222,356,MR,Floor 3,HALL 300R,HC7,Outside 350
196,2d0037000147343337373738,114-03-335-02,6c:0b:84:59:75:de,tcs-m-357.wifi.local.cmu.edu,172.26.234.223,357,MS,Floor 3,HALL,HC8,Outside 360
197,1f0042000547363332363639,114-03-335-04,e0:4f:43:52:62:a9,tcs-m-362.wifi.local.cmu.edu,172.26.234.224,362,MX,Floor 3,360,C1,
198,190028000547363332363639,114-03-335-05,e0:4f:43:52:62:2e,tcs-m-363.wifi.local.cmu.edu,172.26.234.225,363,MY,Floor 3,360,C2,
199,1d0023000547363332363639,114-03-335-06,e0:4f:43:52:61:b7,tcs-m-364.wifi.local.cmu.edu,172.26.234.226,364,MZ,Floor 3,360,C3,
200,3b0043000b47363330353437,114-03-335-03,e0:4f:43:52:61:0a,tcs-m-365.wifi.local.cmu.edu,172.26.234.227,365,NA,Floor 3,360,W1,
201,3b003b000b47363330353437,114-03-335-07,e0:4f:43:52:60:44,tcs-m-366.wifi.local.cmu.edu,172.26.234.228,366,NB,Floor 3,364,C1,
202,1f0042000c47363330353437,114-03-335-08,e0:4f:43:52:5f:4a,tcs-m-367.wifi.local.cmu.edu,172.26.234.229,367,NC,Floor 3,364,C2,
203,1a0022000547363332363639,114-03-335-01,e0:4f:43:52:61:59,tcs-m-368.wifi.local.cmu.edu,172.26.234.230,368,ND,Floor 3,HALL,HC9,Outside 348
204,1c002c000547363332363639,114-03-334-15,e0:4f:43:52:61:78,tcs-m-369.wifi.local.cmu.edu,172.26.234.231,369,NE,Floor 3,350,C1,
205,1b0026000547363332363639,114-03-334-16,e0:4f:43:52:5a:a9,tcs-m-370.wifi.local.cmu.edu,172.26.234.232,370,NF,Floor 3,350,C2,
206,2f0017000547363332363639,114-03-334-24,e0:4f:43:52:60:2c,tcs-m-371.wifi.local.cmu.edu,172.26.234.233,371,NG,Floor 3,350,C3,
207,3f002c000c47363330353437,114-03-334-22,e0:4f:43:52:5f:7c,tcs-m-372.wifi.local.cmu.edu,172.26.234.234,372,NH,Floor 3,350,C4,
208,1f0031000c47363330353437,114-03-334-17,e0:4f:43:52:5f:41,tcs-m-373.wifi.local.cmu.edu,172.26.234.235,373,NI,Floor 3,350,C5,
209,3b0032000b47363330353437,114-03-334-23,e0:4f:43:52:60:bd,tcs-m-374.wifi.local.cmu.edu,172.26.234.236,374,NJ,Floor 3,350,C6,
210,1c0025000547363332363639,114-03-334-21,e0:4f:43:52:61:9f,tcs-m-375.wifi.local.cmu.edu,172.26.234.28,375,NK,Floor 3,350,C7,
211,380019000547363332363639,114-03-334-18,e0:4f:43:52:5f:6e,tcs-m-376.wifi.local.cmu.edu,172.26.234.237,376,NL,Floor 3,350,C8,
212,1f0036000c47363330353437,114-03-334-19,e0:4f:43:52:5f:32,tcs-m-377.wifi.local.cmu.edu,172.26.234.238,377,NM,Floor 3,350,C9,
213,340039001547363332363732,114-03-334-14,e0:4f:43:52:61:29,tcs-m-378.wifi.local.cmu.edu,172.26.234.239,378,NN,Floor 3,350,W1,
