Sr. No ,Device ID,Ethernet Jack #,MacID,Hostname,IP Address,Mites #,Mites Alpha #,Floor #,Room/Corridor #,Ceiling or Wall,Location Notes
257,3e0040000547343339373536,114-04-432-24,6c:0b:84:59:75:7d,tcs-m-424.wifi.local.cmu.edu,172.26.235.21,424,PH,Floor 4,462,W1,
258,3a001a000747343337373738,114-04-433-03,6c:0b:84:59:7c:2d,tcs-m-425.wifi.local.cmu.edu,172.26.235.22,425,PI,Floor 4,461,C1,
259,310032000147343337373738,114-04-433-02,6c:0b:84:59:78:01,tcs-m-426.wifi.local.cmu.edu,172.26.235.23,426,PJ,Floor 4,461,W1,
260,3a0029000547343339373536,114-04-433-06,6c:0b:84:59:74:ac,tcs-m-427.wifi.local.cmu.edu,172.26.235.24,427,PK,Floor 4,468OC,C1,
261,3a001e000547343339373536,114-04-433-05,6c:0b:84:59:74:c3,tcs-m-428.wifi.local.cmu.edu,172.26.235.25,428,PL,Floor 4,468OC,C2,
262,370020000547343339373536,114-04-433-18,6c:0b:84:59:74:c6,tcs-m-429.wifi.local.cmu.edu,172.26.235.26,429,PM,Floor 4,452,C1,
263,2f0042000247343337373738,114-04-433-19,6c:0b:84:59:7b:f5,tcs-m-430.wifi.local.cmu.edu,172.26.235.27,430,PN,Floor 4,452,C2,
264,1b0032000147343337373738,114-04-433-14,6c:0b:84:59:7b:69,tcs-m-431.wifi.local.cmu.edu,172.26.235.28,431,PO,Floor 4,452,C3,
265,35003e000247343337373738,114-04-433-15,6c:0b:84:59:7b:b0,tcs-m-432.wifi.local.cmu.edu,172.26.235.29,432,PP,Floor 4,452,C4,
266,240024000147343337373738,114-04-433-16,6c:0b:84:59:7b:aa,tcs-m-433.wifi.local.cmu.edu,172.26.235.30,433,PQ,Floor 4,452,C5,
267,240019000147343337373738,114-04-433-13,6c:0b:84:59:7b:cd,tcs-m-434.wifi.local.cmu.edu,172.26.235.31,434,PR,Floor 4,452,C6,
268,3e001f000247343337373738,114-04-433-12,6c:0b:84:59:76:54,tcs-m-435.wifi.local.cmu.edu,172.26.235.32,435,PS,Floor 4,452,C7,
269,35002c000247343337373738,114-04-433-17,6c:0b:84:59:79:7f,tcs-m-436.wifi.local.cmu.edu,172.26.235.33,436,PT,Floor 4,452,W1,
270,2e0045000247343337373738,114-04-433-11,6c:0b:84:59:7a:6d,tcs-m-437.wifi.local.cmu.edu,172.26.235.34,437,PU,Floor 4,452,W2,
271,34002f000247343337373738,114-04-434-18,6c:0b:84:59:78:6d,tcs-m-438.wifi.local.cmu.edu,172.26.235.35,438,PV,Floor 4,459,C1,
272,330039000547343339373536,114-04-434-17,6c:0b:84:59:75:c6,tcs-m-439.wifi.local.cmu.edu,172.26.235.36,439,PW,Floor 4,459,W1,
273,3e0026000547343339373536,114-04-434-15,6c:0b:84:59:75:94,tcs-m-440.wifi.local.cmu.edu,172.26.235.37,440,PX,Floor 4,457,C1,
274,1b0037000147343337373738,114-04-434-16,6c:0b:84:59:7b:63,tcs-m-441.wifi.local.cmu.edu,172.26.235.38,441,PY,Floor 4,457,W1,
275,420039000547343339373536,114-04-433-10,6c:0b:84:59:75:b4,tcs-m-442.wifi.local.cmu.edu,172.26.235.39,442,PZ,Floor 4,HALL,HC1,Outside 448
276,3b0031000247343337373738,114-04-433-09,6c:0b:84:59:77:e5,tcs-m-443.wifi.local.cmu.edu,172.26.235.40,443,QA,Floor 4,HALL,HC2,Outside 444
277,340038000247343337373738,114-04-435-04,6c:0b:84:59:78:77,tcs-m-444.wifi.local.cmu.edu,172.26.235.41,444,QB,Floor 4,453,C1,
278,2d0031000147343337373738,114-04-435-03,6c:0b:84:59:78:82,tcs-m-445.wifi.local.cmu.edu,172.26.235.42,445,QC,Floor 4,453,W1,
279,3c002e000547343339373536,114-04-435-02,6c:0b:84:59:78:87,tcs-m-446.wifi.local.cmu.edu,172.26.235.43,446,QD,Floor 4,454,C1,
280,3c0029000547343339373536,114-04-435-01,6c:0b:84:59:78:8d,tcs-m-447.wifi.local.cmu.edu,172.26.235.44,447,QE,Floor 4,454,W1,
281,2d0019000147343337373738,114-04-434-05,6c:0b:84:59:78:7c,tcs-m-448.wifi.local.cmu.edu,172.26.235.45,448,QF,Floor 4,455,W1,
282,3e002c000547343339373536,114-04-434-20,6c:0b:84:59:75:88,tcs-m-449.wifi.local.cmu.edu,172.26.235.46,449,QG,Floor 4,434,C1,
283,320032000147343337373738,114-04-434-22,6c:0b:84:59:78:bd,tcs-m-450.wifi.local.cmu.edu,172.26.235.47,450,QH,Floor 4,434,C2,
284,2d001e000147343337373738,114-04-434-21,6c:0b:84:59:78:72,tcs-m-451.wifi.local.cmu.edu,172.26.235.48,451,QI,Floor 4,434,C3,
285,3a0021000247343337373738,114-04-434-19,6c:0b:84:59:76:6a,tcs-m-452.wifi.local.cmu.edu,172.26.235.49,452,QJ,Floor 4,434,W1,
286,23001b000147343337373738,114-04-434-24,6c:0b:84:59:7b:74,tcs-m-453.wifi.local.cmu.edu,172.26.235.50,453,QK,Floor 4,433,C1,
287,350035000247343337373738,114-04-434-23,6c:0b:84:59:7b:b6,tcs-m-454.wifi.local.cmu.edu,172.26.235.51,454,QL,Floor 4,433,W1,
288,40002a000547343339373536,114-04-431-10,6c:0b:84:59:75:c0,tcs-m-455.wifi.local.cmu.edu,172.26.235.52,455,QM,Floor 4,407OC,C1,
289,3e002a000247343337373738,114-04-431-08,6c:0b:84:59:76:36,tcs-m-456.wifi.local.cmu.edu,172.26.235.53,456,QN,Floor 4,407OC,C2,
290,3d001e000247343337373738,114-04-431-09,6c:0b:84:59:76:60,tcs-m-457.wifi.local.cmu.edu,172.26.235.54,457,QO,Floor 4,HALL,HC3,Outside 427
291,3a0042000247343337373738,114-04-431-15,6c:0b:84:59:75:c2,tcs-m-458.wifi.local.cmu.edu,172.26.235.55,458,QP,Floor 4,424,C1,
292,2b001d000147343337373738,114-04-431-16,6c:0b:84:59:75:15,tcs-m-459.wifi.local.cmu.edu,172.26.235.56,459,QQ,Floor 4,424,W1,
293,1a0034000447343339373536,114-04-431-18,6c:0b:84:59:74:d7,tcs-m-460.wifi.local.cmu.edu,172.26.235.57,460,QR,Floor 4,423,C1,
294,260025000147343337373738,114-04-431-17,6c:0b:84:59:75:a4,tcs-m-461.wifi.local.cmu.edu,172.26.235.58,461,QS,Floor 4,423,W1,
295,39003b000247343337373738,114-04-431-19,6c:0b:84:59:76:30,tcs-m-462.wifi.local.cmu.edu,172.26.235.59,462,QT,Floor 4,422,C1,
296,2a0040000147343337373738,114-04-431-20,6c:0b:84:59:74:c9,tcs-m-463.wifi.local.cmu.edu,172.26.235.60,463,QU,Floor 4,422,W1,
297,360032000247343337373738,114-04-431-22,6c:0b:84:59:76:5f,tcs-m-464.wifi.local.cmu.edu,172.26.235.61,464,QV,Floor 4,421,C1,
298,3f0024000547343339373536,114-04-431-21,6c:0b:84:59:74:d0,tcs-m-465.wifi.local.cmu.edu,172.26.235.62,465,QW,Floor 4,421,W1,
299,3f0037000547343339373536,114-04-431-24,6c:0b:84:59:74:d6,tcs-m-466.wifi.local.cmu.edu,172.26.235.63,466,QX,Floor 4,420,C1,
300,1b0034000447343339373536,114-04-431-23,6c:0b:84:59:74:e9,tcs-m-467.wifi.local.cmu.edu,172.26.235.64,467,QY,Floor 4,420,W1,
301,2b0039000147343337373738,114-04-432-01,6c:0b:84:59:74:d2,tcs-m-468.wifi.local.cmu.edu,172.26.235.65,468,QZ,Floor 4,430,W1,
302,370038000247343337373738,114-04-432-02,6c:0b:84:59:76:64,tcs-m-469.wifi.local.cmu.edu,172.26.235.66,469,RA,Floor 4,431A,C1,
303,2a0035000147343337373738,114-04-431-13,6c:0b:84:59:74:e1,tcs-m-470.wifi.local.cmu.edu,172.26.235.67,470,RB,Floor 4,431,C1,
304,170035000547363332363639,114-04-431-14,e0:4f:43:52:62:71,tcs-m-471.wifi.local.cmu.edu,172.26.235.68,471,RC,Floor 4,431,W1,
305,3c0044000b47363330353437,114-04-431-11,e0:4f:43:52:60:f4,tcs-m-472.wifi.local.cmu.edu,172.26.235.69,472,RD,Floor 4,432,C1,
306,250036000b47363330353437,114-04-431-12,e0:4f:43:52:5f:50,tcs-m-473.wifi.local.cmu.edu,172.26.235.70,473,RE,Floor 4,432,W1,
307,3b0041000b47363330353437,114-04-435-10,e0:4f:43:52:60:dd,tcs-m-474.wifi.local.cmu.edu,172.26.235.71,474,RF,Floor 4,HALL 400RC,HC3,Outside 434
308,380022000547363332363639,114-04-431-07,e0:4f:43:52:5f:7d,tcs-m-475.wifi.local.cmu.edu,172.26.235.72,475,RG,Floor 4,HALL,HC5,Outside 431
309,2f0025000547363332363639,114-04-434-12,e0:4f:43:52:60:24,tcs-m-476.wifi.local.cmu.edu,172.26.235.73,476,RH,Floor 4,HALL,HC6,Outside 417
310,18002a000547363332363639,114-04-434-11,e0:4f:43:52:61:a0,tcs-m-477.wifi.local.cmu.edu,172.26.235.74,477,RI,Floor 4,417,C1,
311,380023000547363332363639,114-04-434-10,e0:4f:43:52:60:85,tcs-m-478.wifi.local.cmu.edu,172.26.235.75,478,RJ,Floor 4,417,W1,
312,180034000547363332363639,114-04-434-09,e0:4f:43:52:62:80,tcs-m-479.wifi.local.cmu.edu,172.26.235.76,479,RK,Floor 4,416,C1,
313,19002b000547363332363639,114-04-434-08,e0:4f:43:52:62:bf,tcs-m-480.wifi.local.cmu.edu,172.26.235.77,480,RL,Floor 4,416,W1,
314,2e0027000d47363330353437,114-04-434-07,e0:4f:43:52:61:58,tcs-m-481.wifi.local.cmu.edu,172.26.235.78,481,RM,Floor 4,415,C1,
315,1f002a000547363332363639,114-04-434-06,e0:4f:43:52:62:90,tcs-m-482.wifi.local.cmu.edu,172.26.235.79,482,RN,Floor 4,415,W1,
316,390023000547363332363639,114-04-434-13,e0:4f:43:52:60:3c,tcs-m-483.wifi.local.cmu.edu,172.26.235.80,483,RO,Floor 4,HALL,HC7,Outside 415
317,3f0022000c47363330353437,114-04-434-05,e0:4f:43:52:60:9d,tcs-m-484.wifi.local.cmu.edu,172.26.235.81,484,RP,Floor 4,414,C1,
318,39001b000547363332363639,114-04-434-04,e0:4f:43:52:5f:93,tcs-m-485.wifi.local.cmu.edu,172.26.235.82,485,RQ,Floor 4,414,W1,
319,1f0028000547363332363639,114-04-434-03,e0:4f:43:52:62:5b,tcs-m-486.wifi.local.cmu.edu,172.26.235.83,486,RR,Floor 4,413,C1,
320,380025000547363332363639,114-04-434-02,e0:4f:43:52:5f:df,tcs-m-487.wifi.local.cmu.edu,172.26.235.84,487,RS,Floor 4,413,W1,
321,3c003a000b47363330353437,114-04-434-01,e0:4f:43:52:61:02,tcs-m-488.wifi.local.cmu.edu,172.26.235.85,488,RT,Floor 4,412,C1,
322,1f0021000b47363330353437,114-04-433-24,e0:4f:43:52:61:2a,tcs-m-489.wifi.local.cmu.edu,172.26.235.86,489,RU,Floor 4,412,W1,
323,3e0020000247343337373738,114-04-433-23,6c:0b:84:59:76:42,tcs-m-490.wifi.local.cmu.edu,172.26.235.87,490,RV,Floor 4,411,C1,
324,3b0026000247343337373738,114-04-433-22,6c:0b:84:59:76:79,tcs-m-491.wifi.local.cmu.edu,172.26.235.88,491,RW,Floor 4,411,W1,
325,3e0029000547343339373536,114-04-434-14,6c:0b:84:59:76:41,tcs-m-492.wifi.local.cmu.edu,172.26.235.89,492,RX,Floor 4,HALL,HC8,Outside 411
326,28002e000147343337373738,114-04-433-20,6c:0b:84:59:76:b9,tcs-m-493.wifi.local.cmu.edu,172.26.235.90,493,RY,Floor 4,400OC,C1,
327,2f001b000547363332363639,114-04-433-21,e0:4f:43:52:60:55,tcs-m-494.wifi.local.cmu.edu,172.26.235.91,494,RZ,Floor 4,400OC,C2,
328,1f0027000547363332363639,114-04-435-09,e0:4f:43:52:62:3d,tcs-m-495.wifi.local.cmu.edu,172.26.235.92,495,SA,Floor 4,HALL 400EL,HC9,Outside Elevator/Stairs
329,1d0024000547363332363639,114-04-435-08,e0:4f:43:52:61:71,tcs-m-496.wifi.local.cmu.edu,172.26.235.93,496,SB,Floor 4,HALL,HC10,Outside 452
330,38002b000247343337373738,114-04-435-07,6c:0b:84:59:76:bf,tcs-m-497.wifi.local.cmu.edu,172.26.234.20,497,SC,Floor 4,467,C1,
331,190025000547363332363639,114-04-435-06,e0:4f:43:52:62:21,tcs-m-498.wifi.local.cmu.edu,172.26.234.19,498,SD,Floor 4,464,C1,
332,1d0021000547363332363639,114-04-433-08,e0:4f:43:52:61:60,tcs-m-499.wifi.local.cmu.edu,172.26.234.18,499,SE,Floor 4,460,C1,
333,3e003e000b47363330353437,114-04-433-07,e0:4f:43:52:5d:a9,tcs-m-500.wifi.local.cmu.edu,172.26.234.17,500,SF,Floor 4,460,C2,
334,3b002e000247343337373738,114-04-433-04,6c:0b:84:59:78:47,tcs-m-394.wifi.local.cmu.edu,172.26.235.149,394,OD,Floor 4,460,W1,
